Date,Ref,Description,Amount
2026-08-02,INV1001,PAYNOW ABC PTE LTD,5350.00
2026-08-03,FAST2001,FAST OFFICE SUPPLIES CO,-820.50
2026-08-05,INV1002,FAST LIM TRADING,12000.00
2026-08-08,GIRO2002,GIRO RENT,-6500.00
2026-08-10,PAY0801,GIRO SALARY,-18400.00
2026-08-12,INV1003,PAYNOW TAN HOLDINGS,3275.40
2026-08-15,FAST2003,FAST IT SERVICES,-1450.00
2026-08-18,INV1004,FAST GREEN FOODS,7800.00
2026-08-20,FAST2004,FAST CLEANING CO,-640.00
2026-08-22,GIRO0822,GIRO SP GROUP,-1210.35
2026-08-25,BC0825,BANK CHARGES,-25.00
2026-08-28,DD0828,INSURANCE DIRECT DEBIT,-350.00
2026-08-31,INT0831,INTEREST CREDIT,12.80
